pesticide_concentration,uv_vis_absorbance,color_shift,lspr_shift,nanoparticle_aggregation,nacl_effect,fluorescence_signal,spectral_response,plant_stress_signal,plant_health
2.4915,2.9962,64.6091,13.9038,0.5126,1.0433,3.7145,4.7122,9.6879,0
0.2364,0.7677,-7.4914,-0.1259,-0.0219,-0.0707,7.7345,-0.0131,2.2740,1
2.1638,2.6588,71.4960,12.6290,0.4026,0.9178,3.5247,3.3209,8.9681,0
4.0534,3.4472,112.7032,35.0585,0.9369,2.7845,1.9276,8.4872,14.2639,0
1.5072,2.5052,36.9927,5.5633,-0.0732,-0.1472,4.3295,2.4118,6.4020,0
1.5612,2.3342,34.7934,8.4880,0.0892,0.2713,5.4720,3.3264,6.0531,1
4.2185,3.2508,120.8925,33.9409,1.1895,3.3269,1.7923,8.2343,15.5147,0
3.1226,3.0525,79.1774,19.6964,0.7785,1.6031,2.9729,5.6012,11.0275,0
3.2557,3.1705,90.5163,20.2371,0.7649,1.7242,2.2480,6.5271,11.1556,0
4.6944,3.6275,141.8133,44.1160,0.9314,2.7260,1.9580,7.8219,15.2002,0
1.8803,2.5752,39.7259,7.2249,0.3122,0.7204,4.0181,2.1678,8.6253,0
2.8866,3.1080,86.3497,15.5581,0.6865,1.6239,2.8508,4.9623,9.6414,0
3.2360,3.2636,84.5172,20.3940,0.5996,1.5858,3.4818,4.3527,11.0140,0
3.2503,2.9404,98.0059,24.4699,0.8425,1.9829,3.3727,5.7020,10.5041,0
0.2526,0.8124,12.3705,-2.2200,-0.0389,-0.0166,8.0550,0.4151,3.0607,1
1.4291,2.2315,39.6725,10.4178,0.1503,0.2443,4.9850,2.3310,5.7815,1
1.8315,2.8100,46.8031,10.9419,0.2658,0.7365,4.7907,3.7555,7.6259,1
0.7242,1.9411,12.7199,3.5643,-0.0273,-0.0870,6.1572,1.3999,3.0375,1
2.1210,2.7369,38.6934,9.0850,0.2805,0.7214,4.5963,2.5315,7.4103,0
0.1100,0.3218,-2.6750,3.2512,-0.0081,0.0451,8.0237,1.5244,1.8495,1
4.9434,3.5257,150.8034,51.5947,1.1708,3.4954,1.4681,10.4698,16.1476,0
4.9909,3.6264,133.1552,49.7283,0.9007,2.2787,1.4994,10.9186,15.1509,0
2.8743,3.0102,77.0243,16.8801,0.6344,1.3239,3.2281,4.9650,10.8150,0
3.6418,3.2699,108.8038,27.9449,0.8626,2.4218,2.3805,5.7061,13.3095,0
2.2337,2.7047,51.2009,10.6459,0.4074,0.6372,4.1065,2.8897,8.8976,0
2.8347,3.0049,75.8550,10.2025,0.6623,1.2661,3.2111,3.0912,10.7256,0
3.9516,3.4501,102.0022,32.9922,0.9719,2.4204,1.9275,6.9020,15.0634,0
1.5827,2.4151,27.7454,9.0830,0.1719,0.3017,4.5503,3.2564,6.6707,1
3.6767,3.0799,105.5481,30.7586,0.8452,1.6521,3.0868,7.4123,12.0061,0
3.4717,3.4884,88.2529,25.3407,0.8764,2.2526,2.4138,6.2586,12.1998,0
1.6991,2.4967,40.0962,5.5077,0.1803,0.2261,4.9193,2.8277,6.5347,1
3.2855,3.2505,97.2262,26.3259,0.8420,2.1125,2.8946,6.2468,11.7955,0
1.5012,2.2169,44.2601,6.2930,0.1633,0.4022,4.6711,1.6996,7.7186,1
3.1450,3.1684,103.0262,21.1759,0.7537,1.8955,2.3552,5.0676,12.2109,0
2.1452,3.0404,60.6718,7.8069,0.3841,0.6334,3.7240,3.3068,8.7966,0
1.9258,2.8156,57.2059,12.7667,0.0818,0.0272,4.0798,4.0772,8.0016,0
3.0069,3.0257,94.6831,14.6572,0.8149,2.0579,2.5827,3.5719,11.2485,0
4.0807,3.6031,113.0172,33.9086,0.9270,2.5185,1.5821,7.2232,15.2809,0
2.9438,2.8327,85.7973,15.0352,0.8274,1.7661,2.5448,4.0338,12.3804,0
4.2608,3.3803,122.4942,40.6181,0.9059,2.4453,1.9370,9.8656,14.1039,0
3.7357,3.3918,125.5214,32.0445,0.9514,2.2564,3.2442,6.8926,11.6921,0
0.7196,1.7480,14.7736,2.0364,0.0314,0.0503,7.1180,1.1198,3.4204,1
5.0000,3.1458,151.9656,45.1933,1.0495,3.0940,1.1926,9.5226,15.9233,0
3.1408,3.4128,95.9497,15.1279,0.7692,1.7707,3.4429,4.2951,11.2348,0
0.8798,1.9632,23.0429,7.7176,-0.0023,-0.1162,6.3587,2.4919,4.0740,1
