absorbance_ratio_A570_A400,lspr_shift_nm,nanoparticle_aggregation_index,color_shift_delta_E,fluorescence_nir_au,ros_h2o2_signal_uM,spectral_response_integrated,plant_stress_index,plant_health
0.225413,0,0.091877,5.5907,7.698262,14.8311,0.310313,0.100287,1
0.392563,2.7763,0.091301,9.4596,6.017301,16.3968,0.711271,0.216997,1
0.580791,6.5543,0.42068,24.669,5.13632,23.5654,0.79848,0.360245,0
0.944363,19.7574,0.99319,27.7766,3.351332,32.2359,1.471201,0.585484,0
0.276005,0.1616,0.010108,7.1379,7.182305,8.2922,0.485868,0.116015,1
1.242918,36.6375,1,42.9582,1.748024,56.397,2.259549,0.836521,0
1.334635,43.0018,0.958659,42.1585,1.121453,59.5219,2.411,0.791499,0
0.410805,2.7935,0.06513,16.7348,6.440625,10.3616,0.537945,0.15593,1
0.89678,20.2529,0.878948,33.0858,3.873222,36.0563,1.432573,0.570078,0
0.284494,0.8434,0.030795,12.0926,7.024329,12.0421,0.38823,0.123714,1
1.355311,40.3697,0.943282,39.0572,1.433218,67.9715,2.321134,0.734488,0
1.290155,35.1583,1,40.3976,1.785802,57.8448,2.23008,0.874028,0
0.892607,19.9216,0.958844,46.4137,4.824662,30.2035,1.246591,0.561409,0
0.433912,3.081,0.034376,15.7819,6.192932,11.9994,0.714923,0.179557,1
0.709389,11.5543,0.763501,28.9462,4.880058,26.7341,1.204777,0.537661,0
1.166932,34.0032,1,39.3051,1.693492,51.942,1.915313,0.7333,0
0.198099,0,0,0.2204,7.986748,5,0.205964,0,1
0.495011,4.5455,0.187527,9.5219,5.911241,21.7536,0.646931,0.190012,1
0.215608,0.1883,0,4.1739,6.848078,12.2757,0.487286,0.134609,1
0.169408,0,0.012419,1.6222,8.169543,10.9196,0.272918,0.162854,1
0.914253,17.6176,0.764606,38.3942,3.206713,39.8068,1.517529,0.605769,0
1.495913,43.7776,1,44.3977,0.862384,79.2703,2.515889,0.854695,0
1.138758,30.2554,1,32.2128,2.73392,59.9776,1.851072,0.694095,0
0.318203,1.8241,0.033676,14.321,6.139441,20.0833,0.614111,0.199008,1
1.325843,39.8382,0.950209,38.4416,2.058567,61.4817,2.304059,0.77691,0
0.366621,1.8555,0.027124,7.9448,6.025088,10.5414,0.751485,0.122109,1
0.514611,2.6415,0.122386,20.7948,5.630999,14.7144,0.719555,0.310776,1
1.49558,51.3449,1,41.6751,0.832098,84.647,2.766808,0.871448,0
0.334804,0.3184,0.050027,7.5462,7.36822,10.185,0.544267,0.196242,1
1.522679,49.8887,0.961944,51.205,0.761807,93.4992,2.683026,0.906754,0
0.669038,10.6924,0.470392,26.3041,4.998377,26.1789,1.097406,0.374334,0
0.272938,1.5452,0.025508,12.1086,7.437152,14.5288,0.505091,0.105321,1
0.325822,2.0483,0,15.486,7.015637,7.26,0.320283,0.139141,1
0.566664,8.4595,0.323795,22.5785,5.352846,16.3492,0.941929,0.276294,0
1.508986,48.8186,0.912024,42.5158,0.63126,79.6453,2.634218,0.872478,0
1.171911,31.1818,0.969591,48.414,2.690941,50.2013,1.915046,0.73891,0
0.525618,3.4605,0.243424,22.4946,5.292824,11.4359,0.63985,0.31039,0
1.054465,27.2705,1,37.3106,3.180084,44.7695,1.724237,0.724059,0
1.438287,41.9572,1,35.7927,0.971799,64.8913,2.476997,0.817346,0
0.337606,1.6106,0,13.2671,6.607488,8.7708,0.449209,0.211304,1
0.15045,0.0969,0,0,7.264284,13.7738,0.356857,0.114919,1
0.688584,9.7748,0.720384,27.0989,3.940812,27.6161,1.155839,0.489993,0
1.215522,32.737,1,46.0698,2.506315,54.0643,1.974296,0.716844,0
0.309633,1.7483,0.082797,8.494,7.401458,17.8365,0.393158,0.158944,1
0.751867,14.7843,0.767831,27.9859,4.197727,32.0781,1.262125,0.605693,0
0.15528,0.9124,0,0,8.234235,14.8617,0.235661,0.119918,1
0.561925,7.7979,0.359883,25.1318,5.455356,19.8103,0.918608,0.244696,0
0.867065,16.0381,0.886425,26.5622,3.603872,46.177,1.414129,0.681743,0
0.799671,16.0651,0.858784,30.8876,3.930378,29.6468,1.317985,0.491197,0
1.126447,32.4845,0.919644,40.3835,2.399586,50.5254,2.133346,0.69236,0
0.209391,0,0.168972,2.3475,7.192851,9.3834,0.416838,0.191038,1
1.003854,21.3079,1,32.8074,2.699864,42.998,1.691706,0.61402,0
0.241988,2.2019,0,0.9089,7.086156,14.381,0.407789,0.108114,1
0.1422,0,0.031525,0.2344,8.379379,11.5814,0.274902,0.008602,1
0.298873,0.4647,0.034914,7.4434,6.48475,11.5782,0.536134,0.114894,1
1.450522,42.0266,1,37.7634,0.5,79.9105,2.538925,0.754554,0
1.199628,31.9715,0.957398,41.7837,1.923539,50.0755,2.04347,0.758099,0
1.090169,27.2764,0.995853,37.5972,2.159254,46.062,2.056771,0.698778,0
1.158853,33.8716,0.940742,42.4608,1.688338,60.889,2.040782,0.766775,0
0.230194,0,0,4.1643,7.972509,5,0.263626,0.189614,1
1.125496,27.9541,1,37.7213,2.700703,54.3898,1.851365,0.703839,0
1.553839,49.8454,1,47.0599,0.947674,84.222,2.711256,0.893701,0
0.191538,0.8079,0,0,7.985605,5,0.234382,0.049129,1
0.202979,0.996,0.094894,4.4583,7.422447,9.1513,0.479269,0.10693,1
0.242976,1.2315,0.083546,20.3262,7.328453,7.911,0.468018,0.134874,1
1.532143,49.1468,0.913799,47.1565,1.07811,84.0411,2.624173,0.818707,0
1.070718,26.574,0.933278,41.2282,2.162525,41.1038,1.764563,0.706549,0
0.628566,9.0114,0.46438,24.9987,4.931731,22.0318,1.156973,0.409848,0
0.442312,1.955,0.226546,14.7202,6.40891,5,0.635468,0.24131,1
0.789416,16.326,0.907339,30.5498,3.821403,30.6054,1.341954,0.502381,0
0.371752,3.107,0.137795,15.3894,6.075246,11.891,0.634101,0.222425,1
1.462127,48.93,0.99086,48.4332,0.5,85.52,2.732493,0.895027,0
1.13122,32.564,1,34.2595,2.593236,50.6589,1.920839,0.748731,0
0.324028,0.968,0.124913,21.7382,6.936213,9.4065,0.320521,0.245144,1
1.275927,35.7156,0.959648,43.8278,1.649381,65.4281,2.010639,0.790599,0
0.423285,2.2889,0.208928,21.1174,5.605524,12.3611,0.740077,0.313987,1
0.213561,1.2865,0.127209,8.0518,7.112123,10.2141,0.362951,0.198122,1
0.210367,1.0833,0,0,7.606872,9.0581,0.357015,0.061222,1
0.159785,0.8324,0.002951,4.57,7.972281,13.5942,0.262565,0.164021,1
0.202229,1.0187,0.048057,2.9615,7.852103,8.9038,0.261306,0.118522,1
0.590423,7.6686,0.560392,25.0301,5.766248,21.3593,0.902825,0.378364,0
0.380114,1.0109,0.131815,11.6142,6.722944,9.0796,0.452366,0.142207,1
1.406058,40.8359,0.917529,43.3319,1.450728,74.283,2.383999,0.752155,0
0.313686,1.4217,0.093205,13.0303,7.271353,16.8679,0.527543,0.136479,1
0.210298,0,0.02825,0,8.167193,19.3578,0.321838,0.125993,1
0.160774,0.5596,0.076127,9.1877,7.665168,10.079,0.40484,0.07791,1
0.79557,13.3542,0.798061,34.4837,4.479904,28.5461,1.186182,0.554256,0
0.220971,0.4459,0.012761,10.1923,7.158078,18.2226,0.326195,0.095337,1
0.179551,0.6815,0,3.4292,8.049521,5,0.195469,0.119838,1
0.301758,1.4799,0.076268,12.3712,7.390454,7.2235,0.422784,0.153672,1
0.506668,3.022,0.172621,23.0136,5.571499,7.1437,0.822779,0.292659,1
1.018833,24.5027,1,40.1797,2.871599,45.3995,1.82156,0.708964,0
0.265035,0.0895,0.051471,17.0986,7.062878,10.4176,0.42394,0.232807,1
0.614414,7.9576,0.378803,26.3577,4.894059,20.1068,1.012806,0.313737,0
0.207424,0,0.080503,7.7248,7.939081,5,0.359444,0.158106,1
0.525307,3.9306,0.092398,16.7014,5.776951,21.3021,0.892724,0.271855,1
0.350573,1.2103,0.043886,17.2544,6.543893,11.9812,0.650286,0.232913,1
0.872779,19.9481,0.950718,33.7439,3.715207,37.0137,1.475965,0.600061,0
1.302969,41.6978,1,40.8892,1.778668,60.5184,2.263232,0.812683,0
0.475042,1.7264,0.012855,23.8578,5.446261,8.6248,0.684418,0.132586,1
1.317892,39.2748,0.917525,39.8722,1.298206,57.1862,2.409508,0.858841,0
0.306261,2.7527,0.077639,15.0533,6.492295,6.2098,0.401533,0.282493,1
1.508111,48.1524,0.957357,43.4143,0.767965,79.395,2.592406,0.770546,0
0.774612,13.5475,0.779302,28.2512,4.155769,29.1425,1.354496,0.497433,0
0.173261,0,0.06753,5.6225,6.882041,5,0.386396,0.088372,1
0.208775,1.754,0,4.5434,7.469042,7.5551,0.489718,0.086886,1
0.274481,0,0.005854,7.0482,7.317806,16.0266,0.392648,0.245046,1
0.928416,19.5193,0.992954,37.75,3.398862,36.0214,1.377515,0.663996,0
0.461046,2.324,0.095987,19.269,5.957212,10.515,0.738159,0.240018,1
0.628051,5.6722,0.548022,26.2307,5.031092,16.2872,0.922756,0.358371,0
